Team,Back all,Lay all
Belgium,1.74,1.75
Croatia,2.84,2.9
England,2.82,2.84
France,1.8,1.88
Germany,2.34,2.44
Hungary,9,10
Iceland,17,22
Italy,5.6,5.9
Northern Ireland,11.5,12.5
Poland,4.5,4.7
Portugal,3.6,3.7
Rep Of Ireland,15,19
Slovakia,20,36
Spain,2.82,2.9
Switzerland,6,6.4
Wales,4.1,4.2
