Team,Back all,Lay All
Germany,1.19,1.2
France,1.2,1.22
England,1.24,1.26
Belgium,1.28,1.34
Wales,1.47,1.5
Spain,1.56,1.65
Croatia,1.74,1.85
Poland,1.77,1.82
Portugal,2.14,2.2
Switzerland,2.2,2.36
Italy,2.64,2.74
Northern Ireland,3,3.15
Hungary,4,4.3 
Iceland,4.7,5.4
Rep Of Ireland,5.4,6.4
Slovakia,6.4,7.4
