Team,Back all,Lay all
Belgium,7.8,8
Croatia,10.5,11
England,11,11.5
France,5.4,5.5
Germany,6.2,6.4
Hungary,120,130
Iceland,180,190
Italy,19,19.5
Northern Ireland,320,330
Poland,29,30
Portugal,17,17.5
Rep Of Ireland,180,190
Slovakia,250,260
Spain,7.2,7.4
Switzerland,55,60
Wales,30,32
