Team,Back all,Lay all
Belgium,3.1,3.15
Croatia,4.7,4.8
England,7.2,7.4
France,3.45,3.6
Germany,3.8,3.95
Hungary,29,36
Iceland,85,110
Italy,11.5,12
Northern Ireland,75,80
Poland,10,10.5
Portugal,5.8,5.9
Rep Of Ireland,60,85
Slovakia,75,120
Spain,4.7,5.1
Switzerland,17.5,18.5
Wales,11.5,12
